"var","prc_na"
"1","educacion",0
"2","estado_civil",0
"3","vivienda",0
"4","perfil",0
"5","carga_fam",0
"6","marca",0
"7","calificacion_conalin",0
"8","calificacion_sinalin",0
"9","refin",0
"10","rec_por_cal0_100_1m12",0
"11","rec_por_cal4_100_1m12",0
"12","rec_calificacion_0_1m12",0
"13","rec_calificacion_4_1m12",0
"14","rec_calificacion_34_1m12",0
"15","rec_calificacion_234_1m12",0
"16","rec_calificacion_1234_1m12",0
"17","rec_mora_0_1m12",0
"18","rec_mora0_1m12",0
"19","rec_mora30_1m12",0
"20","rec_mora60_1m12",0
"21","rec_mora90_1m12",0
"22","rec_mora120_1m12",0
"23","can_emp_var1m3",0
"24","can_emp_var1m6",0
"25","can_emp_var1m12",0
"26","por_cal0_var1m3",0
"27","por_cal0_var1m6",0
"28","por_cal0_var1m12",0
"29","por_cal4_var1m3",0
"30","por_cal4_var1m6",0
"31","por_cal4_var1m12",0
"32","por_cal34_var1m3",0
"33","por_cal34_var1m6",0
"34","por_cal34_var1m12",0
"35","por_cal234_var1m3",0
"36","por_cal234_var1m6",0
"37","por_cal234_var1m12",0
"38","por_cal1234_var1m3",0
"39","por_cal1234_var1m6",0
"40","por_cal1234_var1m12",0
"41","calificacion_var1m3",0
"42","calificacion_var1m6",0
"43","calificacion_var1m12",0
"44","saldo_var1m3",0
"45","saldo_var1m6",0
"46","saldo_var1m12",0
"47","mora_var1m3",0
"48","mora_var1m6",0
"49","mora_var1m12",0
"50","por_mora90_var1m3",0
"51","por_mora90_var1m6",0
"52","por_mora90_var1m12",0
"53","por_mora60_var1m3",0
"54","por_mora60_var1m6",0
"55","por_mora60_var1m12",0
"56","por_mora30_var1m3",0
"57","por_mora30_var1m6",0
"58","por_mora30_var1m12",0
"59","por_mora0_var1m3",0
"60","por_mora0_var1m6",0
"61","por_mora0_var1m12",0
"62","por_mora_0_var1m3",0
"63","por_mora_0_var1m6",0
"64","por_mora_0_var1m12",0
"65","por_vig_var1m3",0
"66","por_vig_var1m6",0
"67","por_vig_var1m12",0
"68","por_novig_var1m3",0
"69","por_novig_var1m6",0
"70","por_novig_var1m12",0
"71","por_castigo_var1m3",0
"72","por_castigo_var1m6",0
"73","por_castigo_var1m12",0
"74","linea_activa_var1m3",0
"75","linea_activa_var1m6",0
"76","linea_activa_var1m12",0
"77","por_uso_linea_var1m3",0
"78","por_uso_linea_var1m6",0
"79","por_uso_linea_var1m12",0
"80","por_uso_efectivo_var1m3",0
"81","por_uso_efectivo_var1m6",0
"82","por_uso_efectivo_var1m12",0
"83","por_me_var1m3",0
"84","por_me_var1m6",0
"85","por_me_var1m12",0
"86","can_emp_1m_max2m12",0
"87","can_emp_max1m3_max4m12",0
"88","can_emp_max1m6_max7m12",0
"89","por_cal0_1m_min2m12",0
"90","por_cal0_min1m3_min4m12",0
"91","por_cal0_min1m6_min7m12",0
"92","por_cal4_1m_max2m12",0
"93","por_cal4_max1m3_max4m12",0
"94","por_cal4_max1m6_max7m12",0
"95","por_cal34_1m_max2m12",0
"96","por_cal34_max1m3_max4m12",0
"97","por_cal34_max1m6_max7m12",0
"98","por_cal234_1m_max2m12",0
"99","por_cal234_max1m3_max4m12",0
"100","por_cal234_max1m6_max7m12",0
"101","por_cal1234_1m_max2m12",0
"102","por_cal1234_max1m3_max4m12",0
"103","por_cal1234_max1m6_max7m12",0
"104","calificacion_1m_max2m12",0
"105","calificacion_max1m3_max4m12",0
"106","calificacion_max1m6_max7m12",0
"107","saldo_1m_max2m12",0
"108","saldo_max1m3_max4m12",0
"109","saldo_max1m6_max7m12",0
"110","mora_1m_max2m12",0
"111","mora_max1m3_max4m12",0
"112","mora_max1m6_max7m12",0
"113","por_mora90_1m_max2m12",0
"114","por_mora90_max1m3_max4m12",0
"115","por_mora90_max1m6_max7m12",0
"116","por_mora60_1m_max2m12",0
"117","por_mora60_max1m3_max4m12",0
"118","por_mora60_max1m6_max7m12",0
"119","por_mora30_1m_max2m12",0
"120","por_mora30_max1m3_max4m12",0
"121","por_mora30_max1m6_max7m12",0
"122","por_mora0_1m_max2m12",0
"123","por_mora0_max1m3_max4m12",0
"124","por_mora0_max1m6_max7m12",0
"125","por_mora_0_1m_min2m12",0
"126","por_mora_0_min1m3_min4m12",0
"127","por_mora_0_min1m6_min7m12",0
"128","por_vig_1m_min2m12",0
"129","por_vig_min1m3_min4m12",0
"130","por_vig_min1m6_min7m12",0
"131","por_novig_1m_max2m12",0
"132","por_novig_max1m3_max4m12",0
"133","por_novig_max1m6_max7m12",0
"134","por_castigo_1m_max2m12",0
"135","por_castigo_max1m3_max4m12",0
"136","por_castigo_max1m6_max7m12",0
"137","linea_activa_1m_max2m12",0
"138","linea_activa_max1m3_max4m12",0
"139","linea_activa_max1m6_max7m12",0
"140","por_uso_linea_1m_max2m12",0
"141","por_uso_linea_max1m3_max4m12",0
"142","por_uso_linea_max1m6_max7m12",0
"143","por_uso_efectivo_1m_max2m12",0
"144","por_uso_efectivo_max1m3_max4m12",0
"145","por_uso_efectivo_max1m6_max7m12",0
"146","por_me_1m_max2m12",0
"147","por_me_max1m3_max4m12",0
"148","por_me_max1m6_max7m12",0
"149","disp_efectivo_max1m12_flg",0
"150","disp_efectivo_1m_flg",0
"151","disp_efectivo_max1m3_flg",0
"152","disp_efectivo_max1m6_flg",0
"153","linea_activa_1m_flg",0
"154","linea_activa_max1m12_flg",0
"155","linea_activa_max1m3_flg",0
"156","linea_activa_max1m6_flg",0
"157","linea_total_1m_flg",0
"158","linea_total_max1m12_flg",0
"159","linea_total_max1m3_flg",0
"160","linea_total_max1m6_flg",0
"161","linea_usada_1m_flg",0
"162","linea_usada_max1m12_flg",0
"163","linea_usada_max1m3_flg",0
"164","linea_usada_max1m6_flg",0
